municipality_code,department,municipality,year,population
05001,Antioquia,Medellín,2018,2427133
05002,Antioquia,Abejorral,2018,20368
05004,Antioquia,Abriaquí,2018,2718
05021,Antioquia,Alejandría,2018,4642
05030,Antioquia,Amagá,2018,30230
05031,Antioquia,Amalfi,2018,25935
05034,Antioquia,Andes,2018,43265
05036,Antioquia,Angelópolis,2018,5758
05038,Antioquia,Angostura,2018,11444
05040,Antioquia,Anorí,2018,18317
05042,Antioquia,Santafé de Antioquia,2018,26167
05044,Antioquia,Anzá,2018,7013
05045,Antioquia,Apartadó,2018,121014
05051,Antioquia,Arboletes,2018,29307
05055,Antioquia,Argelia,2018,7687
05059,Antioquia,Armenia,2018,5142
05079,Antioquia,Barbosa,2018,51974
05086,Antioquia,Belmira,2018,5996
05088,Antioquia,Bello,2018,522259
05091,Antioquia,Betania,2018,10311
05093,Antioquia,Betulia,2018,15597
05101,Antioquia,Ciudad Bolívar,2018,26118
05107,Antioquia,Briceño,2018,8029
05113,Antioquia,Buriticá,2018,9346
05120,Antioquia,Cáceres,2018,29014
05125,Antioquia,Caicedo,2018,8297
05129,Antioquia,Caldas,2018,79632
05134,Antioquia,Campamento,2018,9211
05138,Antioquia,Cañasgordas,2018,15531
05142,Antioquia,Caracolí,2018,4581
05145,Antioquia,Caramanta,2018,4758
05147,Antioquia,Carepa,2018,47923
05148,Antioquia,El Carmen de Viboral,2018,59410
05150,Antioquia,Carolina,2018,3957
05154,Antioquia,Caucasia,2018,90211
05172,Antioquia,Chigorodó,2018,57380
05190,Antioquia,Cisneros,2018,9778
05197,Antioquia,Cocorná,2018,15438
05206,Antioquia,Concepción,2018,4795
05209,Antioquia,Concordia,2018,21367
05212,Antioquia,Copacabana,2018,77875
05234,Antioquia,Dabeiba,2018,23048
05237,Antioquia,Donmatías,2018,18914
05240,Antioquia,Ebéjico,2018,12153
05250,Antioquia,El Bagre,2018,51868
05264,Antioquia,Entrerríos,2018,11154
05266,Antioquia,Envigado,2018,228836
05282,Antioquia,Fredonia,2018,24415
05284,Antioquia,Frontino,2018,20742
05306,Antioquia,Giraldo,2018,5545
05308,Antioquia,Girardota,2018,51660
05310,Antioquia,Gómez Plata,2018,9761
05313,Antioquia,Granada,2018,10124
05315,Antioquia,Guadalupe,2018,6555
05318,Antioquia,Guarne,2018,55110
05321,Antioquia,Guatapé,2018,8367
05347,Antioquia,Heliconia,2018,5460
05353,Antioquia,Hispania,2018,5471
05360,Antioquia,Itagüí,2018,276746
05361,Antioquia,Ituango,2018,27065
05364,Antioquia,Jardín,2018,14520
05368,Antioquia,Jericó,2018,13647
05376,Antioquia,La Ceja,2018,64878
05380,Antioquia,La Estrella,2018,71567
05390,Antioquia,La Pintada,2018,8127
05400,Antioquia,La Unión,2018,21479
05411,Antioquia,Liborina,2018,10023
05425,Antioquia,Maceo,2018,8217
05440,Antioquia,Marinilla,2018,64640
05467,Antioquia,Montebello,2018,6662
05475,Antioquia,Murindó,2018,4902
05480,Antioquia,Mutatá,2018,13991
05483,Antioquia,Nariño,2018,10154
05490,Antioquia,Necoclí,2018,42279
05495,Antioquia,Nechí,2018,25786
05501,Antioquia,Olaya,2018,3118
05541,Antioquia,Peñol,2018,21046
05543,Antioquia,Peque,2018,8108
05576,Antioquia,Pueblorrico,2018,8660
05579,Antioquia,Puerto Berrío,2018,39317
05585,Antioquia,Puerto Nare,2018,14382
05591,Antioquia,Puerto Triunfo,2018,18052
05604,Antioquia,Remedios,2018,28423
05607,Antioquia,Retiro,2018,23516
05615,Antioquia,Rionegro,2018,135473
05628,Antioquia,Sabanalarga,2018,9034
05631,Antioquia,Sabaneta,2018,82376
05642,Antioquia,Salgar,2018,18267
05647,Antioquia,San Andrés de Cuerquía,2018,7215
05649,Antioquia,San Carlos,2018,16256
05652,Antioquia,San Francisco,2018,5648
05656,Antioquia,San Jerónimo,2018,15358
05658,Antioquia,San José de La Montaña,2018,3648
05659,Antioquia,San Juan de Urabá,2018,20085
05660,Antioquia,San Luis,2018,12990
05664,Antioquia,San Pedro de Los Milagros,2018,21949
05665,Antioquia,San Pedro de Urabá,2018,30934
05667,Antioquia,San Rafael,2018,15713
05670,Antioquia,San Roque,2018,21517
05674,Antioquia,San Vicente,2018,22084
05679,Antioquia,Santa Bárbara,2018,26782
05686,Antioquia,Santa Rosa de Osos,2018,36312
05690,Antioquia,Santo Domingo,2018,12393
05697,Antioquia,El Santuario,2018,35429
05736,Antioquia,Segovia,2018,37900
05756,Antioquia,Sonsón,2018,36327
05761,Antioquia,Sopetrán,2018,15057
05789,Antioquia,Támesis,2018,16276
05790,Antioquia,Tarazá,2018,26960
05792,Antioquia,Tarso,2018,6187
05809,Antioquia,Titiribí,2018,10782
05819,Antioquia,Toledo,2018,4993
05837,Antioquia,Turbo,2018,124559
05842,Antioquia,Uramita,2018,6880
05847,Antioquia,Urrao,2018,30136
05854,Antioquia,Valdivia,2018,13798
05856,Antioquia,Valparaíso,2018,6512
05858,Antioquia,Vegachí,2018,11817
05861,Antioquia,Venecia,2018,11606
05873,Antioquia,Vigía del Fuerte,2018,9089
05885,Antioquia,Yalí,2018,7606
05887,Antioquia,Yarumal,2018,41553
05890,Antioquia,Yolombó,2018,22530
05893,Antioquia,Yondó,2018,19043
05895,Antioquia,Zaragoza,2018,24659
08001,Atlántico,Barranquilla,2018,1206322
08078,Atlántico,Baranoa,2018,62371
08137,Atlántico,Campo de La Cruz,2018,22876
08141,Atlántico,Candelaria,2018,15977
08296,Atlántico,Galapa,2018,60724
08372,Atlántico,Juan de Acosta,2018,21005
08421,Atlántico,Luruaco,2018,28173
08433,Atlántico,Malambo,2018,128199
08436,Atlántico,Manatí,2018,19803
08520,Atlántico,Palmar de Varela,2018,28928
08549,Atlántico,Piojó,2018,6609
08558,Atlántico,Polonuevo,2018,18187
08560,Atlántico,Ponedera,2018,23842
08573,Atlántico,Puerto Colombia,2018,49250
08606,Atlántico,Repelón,2018,26207
08634,Atlántico,Sabanagrande,2018,32341
08638,Atlántico,Sabanalarga,2018,93248
08675,Atlántico,Santa Lucía,2018,16030
08685,Atlántico,Santo Tomás,2018,29842
08758,Atlántico,Soledad,2018,603998
08770,Atlántico,Suan,2018,11937
08832,Atlántico,Tubará,2018,17376
08849,Atlántico,Usiacurí,2018,12261
11001,"Bogotá, D.C.","Bogotá, D.C.",2018,7391056
13001,Bolívar,Cartagena de Indias,2018,973047
13006,Bolívar,Achí,2018,24354
13030,Bolívar,Altos del Rosario,2018,10967
13042,Bolívar,Arenal,2018,7348
13052,Bolívar,Arjona,2018,69506
13062,Bolívar,Arroyohondo,2018,8249
13074,Bolívar,Barranco de Loba,2018,14837
13140,Bolívar,Calamar,2018,22476
13160,Bolívar,Cantagallo,2018,8232
13188,Bolívar,Cicuco,2018,13442
13212,Bolívar,Córdoba,2018,15954
13222,Bolívar,Clemencia,2018,14517
13244,Bolívar,El Carmen de Bolívar,2018,70142
13248,Bolívar,El Guamo,2018,8645
13268,Bolívar,El Peñón,2018,7641
13300,Bolívar,Hatillo de Loba,2018,12322
13430,Bolívar,Magangué,2018,133277
13433,Bolívar,Mahates,2018,27683
13440,Bolívar,Margarita,2018,10665
13442,Bolívar,María La Baja,2018,46114
13458,Bolívar,Montecristo,2018,16377
13468,Bolívar,Mompós,2018,44445
13473,Bolívar,Morales,2018,22255
13490,Bolívar,Norosí,2018,9211
13549,Bolívar,Pinillos,2018,24204
13580,Bolívar,Regidor,2018,6731
13600,Bolívar,Río Viejo,2018,10605
13620,Bolívar,San Cristóbal,2018,8050
13647,Bolívar,San Estanislao,2018,18259
13650,Bolívar,San Fernando,2018,12542
13654,Bolívar,San Jacinto,2018,23923
13655,Bolívar,San Jacinto del Cauca,2018,9943
13657,Bolívar,San Juan Nepomuceno,2018,36871
13667,Bolívar,San Martín de Loba,2018,14771
13670,Bolívar,San Pablo,2018,27182
13673,Bolívar,Santa Catalina,2018,14557
13683,Bolívar,Santa Rosa,2018,20961
13688,Bolívar,Santa Rosa del Sur,2018,32660
13744,Bolívar,Simití,2018,18122
13760,Bolívar,Soplaviento,2018,10658
13780,Bolívar,Talaigua Nuevo,2018,13096
13810,Bolívar,Tiquisio,2018,18036
13836,Bolívar,Turbaco,2018,105166
13838,Bolívar,Turbaná,2018,16396
13873,Bolívar,Villanueva,2018,23773
13894,Bolívar,Zambrano,2018,11871
15001,Boyacá,Tunja,2018,174101
15022,Boyacá,Almeida,2018,1893
15047,Boyacá,Aquitania,2018,15339
15051,Boyacá,Arcabuco,2018,5816
15087,Boyacá,Belén,2018,7499
15090,Boyacá,Berbeo,2018,1569
15092,Boyacá,Betéitiva,2018,1937
15097,Boyacá,Boavita,2018,5059
15104,Boyacá,Boyacá,2018,5040
15106,Boyacá,Briceño,2018,2173
15109,Boyacá,Buenavista,2018,4393
15114,Boyacá,Busbanzá,2018,1112
15131,Boyacá,Caldas,2018,3117
15135,Boyacá,Campohermoso,2018,3102
15162,Boyacá,Cerinza,2018,3710
15172,Boyacá,Chinavita,2018,3185
15176,Boyacá,Chiquinquirá,2018,56458
15180,Boyacá,Chiscas,2018,3964
15183,Boyacá,Chita,2018,7992
15185,Boyacá,Chitaraque,2018,5802
15187,Boyacá,Chivatá,2018,2771
15189,Boyacá,Ciénega,2018,4601
15204,Boyacá,Cómbita,2018,12881
15212,Boyacá,Coper,2018,3578
15215,Boyacá,Corrales,2018,2493
15218,Boyacá,Covarachía,2018,2785
15223,Boyacá,Cubará,2018,10314
15224,Boyacá,Cucaita,2018,3724
15226,Boyacá,Cuítiva,2018,1793
15232,Boyacá,Chíquiza,2018,4631
15236,Boyacá,Chivor,2018,2470
15238,Boyacá,Duitama,2018,123361
15244,Boyacá,El Cocuy,2018,4204
15248,Boyacá,El Espino,2018,3062
15272,Boyacá,Firavitoba,2018,6637
15276,Boyacá,Floresta,2018,3250
15293,Boyacá,Gachantivá,2018,2771
15296,Boyacá,Gámeza,2018,4826
15299,Boyacá,Garagoa,2018,18005
15317,Boyacá,Guacamayas,2018,1844
15322,Boyacá,Guateque,2018,10737
15325,Boyacá,Guayatá,2018,3377
15332,Boyacá,Güicán de La Sierra,2018,4262
15362,Boyacá,Iza,2018,1939
15367,Boyacá,Jenesano,2018,7164
15368,Boyacá,Jericó,2018,3909
15377,Boyacá,Labranzagrande,2018,3530
15380,Boyacá,La Capilla,2018,2689
15401,Boyacá,La Victoria,2018,1125
15403,Boyacá,La Uvita,2018,2990
15407,Boyacá,Villa de Leyva,2018,16117
15425,Boyacá,Macanal,2018,4943
15442,Boyacá,Maripí,2018,5705
15455,Boyacá,Miraflores,2018,8856
15464,Boyacá,Mongua,2018,4634
15466,Boyacá,Monguí,2018,4242
15469,Boyacá,Moniquirá,2018,22564
15476,Boyacá,Motavita,2018,5520
15480,Boyacá,Muzo,2018,8623
15491,Boyacá,Nobsa,2018,15904
15494,Boyacá,Nuevo Colón,2018,5096
15500,Boyacá,Oicatá,2018,2809
15507,Boyacá,Otanche,2018,8002
15511,Boyacá,Pachavita,2018,2438
15514,Boyacá,Páez,2018,3272
15516,Boyacá,Paipa,2018,33587
15518,Boyacá,Pajarito,2018,2375
15522,Boyacá,Panqueba,2018,1711
15531,Boyacá,Pauna,2018,7154
15533,Boyacá,Paya,2018,2583
15537,Boyacá,Paz de Río,2018,4285
15542,Boyacá,Pesca,2018,6809
15550,Boyacá,Pisba,2018,1755
15572,Boyacá,Puerto Boyacá,2018,46921
15580,Boyacá,Quípama,2018,4868
15599,Boyacá,Ramiriquí,2018,9861
15600,Boyacá,Ráquira,2018,7822
15621,Boyacá,Rondón,2018,2395
15632,Boyacá,Saboyá,2018,13449
15638,Boyacá,Sáchica,2018,5444
15646,Boyacá,Samacá,2018,18240
15660,Boyacá,San Eduardo,2018,1697
15664,Boyacá,San José de Pare,2018,4961
15667,Boyacá,San Luis de Gaceno,2018,5477
15673,Boyacá,San Mateo,2018,3317
15676,Boyacá,San Miguel de Sema,2018,2971
15681,Boyacá,San Pablo de Borbur,2018,6552
15686,Boyacá,Santana,2018,7514
15690,Boyacá,Santa María,2018,3560
15693,Boyacá,Santa Rosa de Viterbo,2018,13097
15696,Boyacá,Santa Sofía,2018,3166
15720,Boyacá,Sativanorte,2018,2202
15723,Boyacá,Sativasur,2018,1077
15740,Boyacá,Siachoque,2018,6677
15753,Boyacá,Soatá,2018,9102
15755,Boyacá,Socotá,2018,7242
15757,Boyacá,Socha,2018,7935
15759,Boyacá,Sogamoso,2018,128183
15761,Boyacá,Somondoco,2018,2894
15762,Boyacá,Sora,2018,3008
15763,Boyacá,Sotaquirá,2018,8089
15764,Boyacá,Soracá,2018,5910
15774,Boyacá,Susacón,2018,2705
15776,Boyacá,Sutamarchán,2018,6047
15778,Boyacá,Sutatenza,2018,4197
15790,Boyacá,Tasco,2018,5852
15798,Boyacá,Tenza,2018,3836
15804,Boyacá,Tibaná,2018,8995
15806,Boyacá,Tibasosa,2018,12883
15808,Boyacá,Tinjacá,2018,3249
15810,Boyacá,Tipacoque,2018,3315
15814,Boyacá,Toca,2018,8754
15816,Boyacá,Togüí,2018,4301
15820,Boyacá,Tópaga,2018,3601
15822,Boyacá,Tota,2018,5131
15832,Boyacá,Tununguá,2018,1524
15835,Boyacá,Turmequé,2018,6093
15837,Boyacá,Tuta,2018,8218
15839,Boyacá,Tutazá,2018,2017
15842,Boyacá,Úmbita,2018,7453
15861,Boyacá,Ventaquemada,2018,15573
15879,Boyacá,Viracachá,2018,2803
15897,Boyacá,Zetaquira,2018,4609
17001,Caldas,Manizales,2018,434403
17013,Caldas,Aguadas,2018,22819
17042,Caldas,Anserma,2018,36129
17050,Caldas,Aranzazu,2018,10561
17088,Caldas,Belalcázar,2018,10653
17174,Caldas,Chinchiná,2018,51266
17272,Caldas,Filadelfia,2018,11440
17380,Caldas,La Dorada,2018,71898
17388,Caldas,La Merced,2018,6007
17433,Caldas,Manzanares,2018,17919
17442,Caldas,Marmato,2018,8874
17444,Caldas,Marquetalia,2018,13240
17446,Caldas,Marulanda,2018,2599
17486,Caldas,Neira,2018,21031
17495,Caldas,Norcasia,2018,6020
17513,Caldas,Pácora,2018,15331
17524,Caldas,Palestina,2018,15570
17541,Caldas,Pensilvania,2018,19905
17614,Caldas,Riosucio,2018,50792
17616,Caldas,Risaralda,2018,10829
17653,Caldas,Salamina,2018,19457
17662,Caldas,Samaná,2018,20471
17665,Caldas,San José,2018,4847
17777,Caldas,Supía,2018,28623
17867,Caldas,Victoria,2018,10161
17873,Caldas,Villamaría,2018,64668
17877,Caldas,Viterbo,2018,12736
18001,Caquetá,Florencia,2018,168606
18029,Caquetá,Albania,2018,4672
18094,Caquetá,Belén de Los Andaquíes,2018,11035
18150,Caquetá,Cartagena del Chairá,2018,30395
18205,Caquetá,Curillo,2018,7602
18247,Caquetá,El Doncello,2018,19306
18256,Caquetá,El Paujíl,2018,18034
18410,Caquetá,La Montañita,2018,14700
18460,Caquetá,Milán,2018,9707
18479,Caquetá,Morelia,2018,3709
18592,Caquetá,Puerto Rico,2018,26532
18610,Caquetá,San José del Fragua,2018,12802
18753,Caquetá,San Vicente del Caguán,2018,50707
18756,Caquetá,Solano,2018,11201
18785,Caquetá,Solita,2018,6204
18860,Caquetá,Valparaíso,2018,6873
19001,Cauca,Popayán,2018,318055
19022,Cauca,Almaguer,2018,18448
19050,Cauca,Argelia,2018,26140
19075,Cauca,Balboa,2018,21116
19100,Cauca,Bolívar,2018,38044
19110,Cauca,Buenos Aires,2018,31434
19130,Cauca,Cajibío,2018,42018
19137,Cauca,Caldono,2018,39948
19142,Cauca,Caloto,2018,30185
19212,Cauca,Corinto,2018,25292
19256,Cauca,El Tambo,2018,53895
19290,Cauca,Florencia,2018,5202
19300,Cauca,Guachené,2018,19655
19318,Cauca,Guapi,2018,27620
19355,Cauca,Inzá,2018,28879
19364,Cauca,Jambaló,2018,17856
19392,Cauca,La Sierra,2018,10744
19397,Cauca,La Vega,2018,24500
19418,Cauca,López de Micay,2018,18587
19450,Cauca,Mercaderes,2018,22674
19455,Cauca,Miranda,2018,31363
19473,Cauca,Morales,2018,38836
19513,Cauca,Padilla,2018,9942
19517,Cauca,Páez,2018,45781
19532,Cauca,Patía,2018,36852
19533,Cauca,Piamonte,2018,8817
19548,Cauca,Piendamó - Tunía,2018,40804
19573,Cauca,Puerto Tejada,2018,41616
19585,Cauca,Puracé,2018,17268
19622,Cauca,Rosas,2018,11475
19693,Cauca,San Sebastián,2018,10947
19698,Cauca,Santander de Quilichao,2018,110465
19701,Cauca,Santa Rosa,2018,5326
19743,Cauca,Silvia,2018,37339
19760,Cauca,Sotará Paispamba,2018,13940
19780,Cauca,Suárez,2018,31905
19785,Cauca,Sucre,2018,9488
19807,Cauca,Timbío,2018,35476
19809,Cauca,Timbiquí,2018,26100
19821,Cauca,Toribío,2018,35216
19824,Cauca,Totoró,2018,24554
19845,Cauca,Villa Rica,2018,20700
20001,Cesar,Valledupar,2018,490068
20011,Cesar,Aguachica,2018,109616
20013,Cesar,Agustín Codazzi,2018,60769
20032,Cesar,Astrea,2018,20109
20045,Cesar,Becerril,2018,21609
20060,Cesar,Bosconia,2018,40023
20175,Cesar,Chimichagua,2018,34165
20178,Cesar,Chiriguaná,2018,27707
20228,Cesar,Curumaní,2018,37398
20238,Cesar,El Copey,2018,30171
20250,Cesar,El Paso,2018,37530
20295,Cesar,Gamarra,2018,14965
20310,Cesar,González,2018,4391
20383,Cesar,La Gloria,2018,17152
20400,Cesar,La Jagua de Ibirico,2018,46711
20443,Cesar,Manaure Balcón del Cesar,2018,10052
20517,Cesar,Pailitas,2018,18559
20550,Cesar,Pelaya,2018,20688
20570,Cesar,Pueblo Bello,2018,27015
20614,Cesar,Río de Oro,2018,16837
20621,Cesar,La Paz,2018,27748
20710,Cesar,San Alberto,2018,26251
20750,Cesar,San Diego,2018,19038
20770,Cesar,San Martín,2018,26668
20787,Cesar,Tamalameque,2018,15349
23001,Córdoba,Montería,2018,490941
23068,Córdoba,Ayapel,2018,46968
23079,Córdoba,Buenavista,2018,21087
23090,Córdoba,Canalete,2018,15346
23162,Córdoba,Cereté,2018,105826
23168,Córdoba,Chimá,2018,17539
23182,Córdoba,Chinú,2018,47920
23189,Córdoba,Ciénaga de Oro,2018,59080
23300,Córdoba,Cotorra,2018,19028
23350,Córdoba,La Apartada,2018,14864
23417,Córdoba,Lorica,2018,113908
23419,Córdoba,Los Córdobas,2018,18724
23464,Córdoba,Momil,2018,19589
23466,Córdoba,Montelíbano,2018,81628
23500,Córdoba,Moñitos,2018,29843
23555,Córdoba,Planeta Rica,2018,64212
23570,Córdoba,Pueblo Nuevo,2018,35650
23574,Córdoba,Puerto Escondido,2018,23635
23580,Córdoba,Puerto Libertador,2018,41875
23586,Córdoba,Purísima de La Concepción,2018,17190
23660,Córdoba,Sahagún,2018,107621
23670,Córdoba,San Andrés Sotavento,2018,48613
23672,Córdoba,San Antero,2018,33874
23675,Córdoba,San Bernardo del Viento,2018,36999
23678,Córdoba,San Carlos,2018,26959
23682,Córdoba,San José de Uré,2018,13344
23686,Córdoba,San Pelayo,2018,51852
23807,Córdoba,Tierralta,2018,92339
23815,Córdoba,Tuchín,2018,52619
23855,Córdoba,Valencia,2018,35681
25001,Cundinamarca,Agua de Dios,2018,11687
25019,Cundinamarca,Albán,2018,6389
25035,Cundinamarca,Anapoima,2018,14520
25040,Cundinamarca,Anolaima,2018,13738
25053,Cundinamarca,Arbeláez,2018,10863
25086,Cundinamarca,Beltrán,2018,1780
25095,Cundinamarca,Bituima,2018,2434
25099,Cundinamarca,Bojacá,2018,9970
25120,Cundinamarca,Cabrera,2018,4715
25123,Cundinamarca,Cachipay,2018,9930
25126,Cundinamarca,Cajicá,2018,87218
25148,Cundinamarca,Caparrapí,2018,12499
25151,Cundinamarca,Cáqueza,2018,17078
25154,Cundinamarca,Carmen de Carupa,2018,7555
25168,Cundinamarca,Chaguaní,2018,4169
25175,Cundinamarca,Chía,2018,136742
25178,Cundinamarca,Chipaque,2018,9409
25181,Cundinamarca,Choachí,2018,10933
25183,Cundinamarca,Chocontá,2018,20545
25200,Cundinamarca,Cogua,2018,21974
25214,Cundinamarca,Cota,2018,34864
25224,Cundinamarca,Cucunubá,2018,7560
25245,Cundinamarca,El Colegio,2018,23833
25258,Cundinamarca,El Peñón,2018,4635
25260,Cundinamarca,El Rosal,2018,22208
25269,Cundinamarca,Facatativá,2018,140539
25279,Cundinamarca,Fómeque,2018,11952
25281,Cundinamarca,Fosca,2018,5755
25286,Cundinamarca,Funza,2018,93357
25288,Cundinamarca,Fúquene,2018,4841
25290,Cundinamarca,Fusagasugá,2018,138503
25293,Cundinamarca,Gachalá,2018,4436
25295,Cundinamarca,Gachancipá,2018,17062
25297,Cundinamarca,Gachetá,2018,8401
25299,Cundinamarca,Gama,2018,3086
25307,Cundinamarca,Girardot,2018,101024
25312,Cundinamarca,Granada,2018,7132
25317,Cundinamarca,Guachetá,2018,13246
25320,Cundinamarca,Guaduas,2018,30521
25322,Cundinamarca,Guasca,2018,15304
25324,Cundinamarca,Guataquí,2018,2849
25326,Cundinamarca,Guatavita,2018,6305
25328,Cundinamarca,Guayabal de Síquima,2018,4422
25335,Cundinamarca,Guayabetal,2018,6199
25339,Cundinamarca,Gutiérrez,2018,3380
25368,Cundinamarca,Jerusalén,2018,2287
25372,Cundinamarca,Junín,2018,5755
25377,Cundinamarca,La Calera,2018,32815
25386,Cundinamarca,La Mesa,2018,32707
25394,Cundinamarca,La Palma,2018,9458
25398,Cundinamarca,La Peña,2018,5863
25402,Cundinamarca,La Vega,2018,16916
25407,Cundinamarca,Lenguazaque,2018,10011
25426,Cundinamarca,Machetá,2018,6086
25430,Cundinamarca,Madrid,2018,113204
25436,Cundinamarca,Manta,2018,3707
25438,Cundinamarca,Medina,2018,8011
25473,Cundinamarca,Mosquera,2018,130255
25483,Cundinamarca,Nariño,2018,2328
25486,Cundinamarca,Nemocón,2018,13175
25488,Cundinamarca,Nilo,2018,10828
25489,Cundinamarca,Nimaima,2018,3572
25491,Cundinamarca,Nocaima,2018,6053
25506,Cundinamarca,Venecia,2018,4222
25513,Cundinamarca,Pacho,2018,24385
25518,Cundinamarca,Paime,2018,4164
25524,Cundinamarca,Pandi,2018,4980
25530,Cundinamarca,Paratebueno,2018,8317
25535,Cundinamarca,Pasca,2018,9108
25572,Cundinamarca,Puerto Salgar,2018,15453
25580,Cundinamarca,Pulí,2018,3321
25592,Cundinamarca,Quebradanegra,2018,4669
25594,Cundinamarca,Quetame,2018,5030
25596,Cundinamarca,Quipile,2018,6242
25599,Cundinamarca,Apulo,2018,8196
25612,Cundinamarca,Ricaurte,2018,12874
25645,Cundinamarca,San Antonio del Tequendama,2018,11751
25649,Cundinamarca,San Bernardo,2018,8473
25653,Cundinamarca,San Cayetano,2018,4802
25658,Cundinamarca,San Francisco,2018,10730
25662,Cundinamarca,San Juan de Rioseco,2018,8180
25718,Cundinamarca,Sasaima,2018,10653
25736,Cundinamarca,Sesquilé,2018,11380
25740,Cundinamarca,Sibaté,2018,35219
25743,Cundinamarca,Silvania,2018,21628
25745,Cundinamarca,Simijaca,2018,12847
25754,Cundinamarca,Soacha,2018,659218
25758,Cundinamarca,Sopó,2018,27249
25769,Cundinamarca,Subachoque,2018,15657
25772,Cundinamarca,Suesca,2018,16997
25777,Cundinamarca,Supatá,2018,5167
25779,Cundinamarca,Susa,2018,6435
25781,Cundinamarca,Sutatausa,2018,5847
25785,Cundinamarca,Tabio,2018,21566
25793,Cundinamarca,Tausa,2018,8005
25797,Cundinamarca,Tena,2018,9473
25799,Cundinamarca,Tenjo,2018,21857
25805,Cundinamarca,Tibacuy,2018,4354
25807,Cundinamarca,Tibirita,2018,3132
25815,Cundinamarca,Tocaima,2018,15737
25817,Cundinamarca,Tocancipá,2018,39860
25823,Cundinamarca,Topaipí,2018,4101
25839,Cundinamarca,Ubalá,2018,7668
25841,Cundinamarca,Ubaque,2018,6681
25843,Cundinamarca,Villa de San Diego de Ubaté,2018,42737
25845,Cundinamarca,Une,2018,6939
25851,Cundinamarca,Útica,2018,4257
25862,Cundinamarca,Vergara,2018,6803
25867,Cundinamarca,Vianí,2018,4309
25871,Cundinamarca,Villagómez,2018,1758
25873,Cundinamarca,Villapinzón,2018,17120
25875,Cundinamarca,Villeta,2018,26957
25878,Cundinamarca,Viotá,2018,13244
25885,Cundinamarca,Yacopí,2018,12236
25898,Cundinamarca,Zipacón,2018,4635
25899,Cundinamarca,Zipaquirá,2018,134624
27001,Chocó,Quibdó,2018,129217
27006,Chocó,Acandí,2018,13988
27025,Chocó,Alto Baudó,2018,27594
27050,Chocó,Atrato,2018,6075
27073,Chocó,Bagadó,2018,11024
27075,Chocó,Bahía Solano,2018,10119
27077,Chocó,Bajo Baudó,2018,29955
27099,Chocó,Bojayá,2018,12079
27135,Chocó,El Cantón del San Pablo,2018,6128
27150,Chocó,Carmen del Darién,2018,18431
27160,Chocó,Cértegui,2018,5630
27205,Chocó,Condoto,2018,12657
27245,Chocó,El Carmen de Atrato,2018,8198
27250,Chocó,El Litoral del San Juan,2018,21675
27361,Chocó,Istmina,2018,30742
27372,Chocó,Juradó,2018,6682
27413,Chocó,Lloró,2018,9782
27425,Chocó,Medio Atrato,2018,10671
27430,Chocó,Medio Baudó,2018,15108
27450,Chocó,Medio San Juan,2018,10582
27491,Chocó,Nóvita,2018,9164
27493,Chocó,Nuevo Belén de Bajirá,2018,0
27495,Chocó,Nuquí,2018,16203
27580,Chocó,Río Iró,2018,5478
27600,Chocó,Río Quito,2018,8215
27615,Chocó,Riosucio,2018,53441
27660,Chocó,San José del Palmar,2018,5116
27745,Chocó,Sipí,2018,3177
27787,Chocó,Tadó,2018,18012
27800,Chocó,Unguía,2018,12854
27810,Chocó,Unión Panamericana,2018,6810
41001,Huila,Neiva,2018,357376
41006,Huila,Acevedo,2018,24777
41013,Huila,Agrado,2018,8804
41016,Huila,Aipe,2018,16168
41020,Huila,Algeciras,2018,22495
41026,Huila,Altamira,2018,4272
41078,Huila,Baraya,2018,8345
41132,Huila,Campoalegre,2018,31080
41206,Huila,Colombia,2018,7276
41244,Huila,Elías,2018,4223
41298,Huila,Garzón,2018,72381
41306,Huila,Gigante,2018,24567
41319,Huila,Guadalupe,2018,17884
41349,Huila,Hobo,2018,7300
41357,Huila,Íquira,2018,9260
41359,Huila,Isnos,2018,25183
41378,Huila,La Argentina,2018,12865
41396,Huila,La Plata,2018,61029
41483,Huila,Nátaga,2018,6469
41503,Huila,Oporapa,2018,11620
41518,Huila,Paicol,2018,6571
41524,Huila,Palermo,2018,26280
41530,Huila,Palestina,2018,11159
41548,Huila,Pital,2018,13784
41551,Huila,Pitalito,2018,124359
41615,Huila,Rivera,2018,24305
41660,Huila,Saladoblanco,2018,10450
41668,Huila,San Agustín,2018,33027
41676,Huila,Santa María,2018,10409
41770,Huila,Suaza,2018,21851
41791,Huila,Tarqui,2018,17442
41797,Huila,Tesalia,2018,10696
41799,Huila,Tello,2018,11802
41801,Huila,Teruel,2018,8043
41807,Huila,Timaná,2018,21790
41872,Huila,Villavieja,2018,7282
41885,Huila,Yaguará,2018,7740
44001,La Guajira,Riohacha,2018,188019
44035,La Guajira,Albania,2018,29154
44078,La Guajira,Barrancas,2018,35753
44090,La Guajira,Dibulla,2018,37745
44098,La Guajira,Distracción,2018,13002
44110,La Guajira,El Molino,2018,7170
44279,La Guajira,Fonseca,2018,42774
44378,La Guajira,Hatonuevo,2018,20057
44420,La Guajira,La Jagua del Pilar,2018,3501
44430,La Guajira,Maicao,2018,170582
44560,La Guajira,Manaure,2018,83065
44650,La Guajira,San Juan del Cesar,2018,46949
44847,La Guajira,Uribia,2018,163463
