"fecha_hecho","cod_depto","departamento","cod_muni","municipio","accion","cantidad"
"2017-03-23T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","3"
"2025-03-12T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","ASESINADO","1"
"2018-12-15T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2012-02-11T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","ASESINADO","3"
"2021-10-04T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2024-06-12T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","2"
"2011-08-11T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","2"
"2017-11-26T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2010-08-31T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2013-12-14T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2015-05-09T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","2"
"2016-12-26T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2019-11-30T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2021-05-27T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2016-12-18T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2019-02-10T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2011-01-02T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","ASESINADO","1"
"2018-01-12T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2020-08-02T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
"2018-11-19T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","HERIDO","1"
