"fecha_hecho","cod_depto","departamento","cod_muni","municipio","cantidad"
"2025-01-08T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2025-01-03T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-12-28T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-12-22T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-12-17T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-12-12T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-12-10T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-12-10T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-12-09T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-12-05T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-12-05T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-11-28T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-11-28T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-11-14T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-11-13T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-11-06T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-11-06T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-11-05T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-11-02T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-11-01T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-10-22T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-10-22T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-10-13T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-10-12T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-10-03T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-10-02T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-09-23T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-09-22T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-09-18T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-09-17T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-09-10T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-09-07T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-09-04T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-08-22T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-08-20T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","2"
"2024-08-09T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-08-07T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","3"
"2024-07-29T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-07-24T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-07-19T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-07-19T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-07-19T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-07-18T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-07-15T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-07-10T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-07-01T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-06-30T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-06-29T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-06-27T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-06-25T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-06-23T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-06-22T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-06-21T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-06-18T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-06-18T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-06-17T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-06-11T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-06-10T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-06-09T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-06-04T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-05-31T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-05-29T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-05-28T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-05-28T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-05-27T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-05-26T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-05-25T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-05-21T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-05-21T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-05-18T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-05-12T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-05-03T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-05-03T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-04-14T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-04-11T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-04-10T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-04-09T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-03-31T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-03-20T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-03-18T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-03-17T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-03-13T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-03-09T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-03-06T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-03-02T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-03-02T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-03-02T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-03-02T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-03-01T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-03-01T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-02-21T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-02-21T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-02-14T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-02-12T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-02-10T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
"2024-02-08T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","1"
